open_dt,close_dt,entry_price,exit_price,high_price,low_price,profitable,first_min_open,bt_id,ts_id,direction,flipper,is_open,prof_target,prof_ticks,stop_target,stop_ticks,offset_ticks,open_epoch,symbol,timeframe,trading_hours,prev_ind_dp
2025-11-30 18:00:00,2025-11-30 22:09:00,6857.0,6817.0,6864.5,6817.0,True,True,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6817.0,160,6877.0,80,40,1764543600,ES,e1h,eth,6847.03
2025-12-01 09:38:00,2025-12-01 11:43:00,6827.75,6847.75,6847.75,6812.75,False,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6787.75,160,6847.75,80,40,1764599880,ES,e1h,eth,6817.8
2025-12-02 04:25:00,2025-12-02 09:39:00,6834.75,6854.75,6854.75,6830.25,False,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6794.75,160,6854.75,80,40,1764667500,ES,e1h,eth,6824.82
2025-12-02 05:09:00,2025-12-02 10:05:00,6836.75,6856.75,6856.75,6833.25,False,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6796.75,160,6856.75,80,40,1764670140,ES,e1h,eth,6826.76
2025-12-02 08:30:00,2025-12-02 15:55:00,6845.5,6840.25,6863.5,6818.0,True,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6805.5,160,6865.5,80,40,1764682200,ES,e1h,eth,6835.52
2025-12-02 10:00:00,2025-12-02 15:55:00,6850.0,6840.25,6863.5,6818.0,True,True,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6810.0,160,6870.0,80,40,1764687600,ES,e1h,eth,6840.14
2025-12-02 12:31:00,2025-12-02 15:55:00,6851.25,6840.25,6853.5,6824.25,True,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6811.25,160,6871.25,80,40,1764696660,ES,e1h,eth,6841.43
2025-12-02 14:51:00,2025-12-02 15:55:00,6847.75,6840.25,6853.5,6839.75,True,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6807.75,160,6867.75,80,40,1764705060,ES,e1h,eth,6837.87
2025-12-02 15:13:00,2025-12-02 15:55:00,6849.75,6840.25,6853.5,6839.75,True,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6809.75,160,6869.75,80,40,1764706380,ES,e1h,eth,6839.89
2025-12-02 21:23:00,2025-12-03 15:55:00,6854.0,6861.0,6873.25,6817.5,False,False,BacktestEMAReject-eth_e1h_9,BacktestEMAReject-eth_e1h_9_s80-p160-o40,short,-1,False,6814.0,160,6874.0,80,40,1764728580,ES,e1h,eth,6844.23
